"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BOMDYEING","EQ","11-Apr-2017","         80.15","         80.40","         81.55","         78.85","         80.30","         79.90","         80.20","    2551398","           204627356.60","      11377","     772869","         30.29"
"BOMDYEING","EQ","12-Apr-2017","         79.90","         82.40","         85.20","         82.20","         83.60","         83.50","         83.83","    7230054","           606111922.75","      32067","    2061949","         28.52"
"BOMDYEING","EQ","13-Apr-2017","         83.50","         84.00","         84.05","         82.25","         82.80","         82.70","         83.18","    1825299","           151832726.90","      10327","     560489","         30.71"
"BOMDYEING","EQ","17-Apr-2017","         82.70","         83.45","         85.40","         81.00","         84.30","         84.45","         83.77","    3967419","           332333842.15","      15384","    1156954","         29.16"
"BOMDYEING","EQ","18-Apr-2017","         84.45","         84.65","         87.20","         82.05","         82.95","         82.70","         85.27","    5276737","           449969945.10","      21859","    1513058","         28.67"
"BOMDYEING","EQ","19-Apr-2017","         82.70","         82.80","         84.80","         82.05","         83.75","         83.75","         83.41","    2470230","           206034439.95","      12075","     610191","         24.70"
"BOMDYEING","EQ","20-Apr-2017","         83.75","         83.65","         85.45","         83.35","         85.00","         84.75","         84.32","    2221416","           187302695.80","       8960","     679748","         30.60"
"BOMDYEING","EQ","21-Apr-2017","         84.75","         85.40","         91.90","         84.65","         87.80","         88.00","         88.88","   12888139","          1145539232.70","      44918","    2534619","         19.67"
"BOMDYEING","EQ","24-Apr-2017","         88.00","         89.00","         92.00","         88.90","         90.50","         90.20","         90.51","    5954055","           538876371.50","      24764","    1772489","         29.77"
"BOMDYEING","EQ","25-Apr-2017","         90.20","         91.00","         91.40","         89.10","         89.55","         89.65","         90.17","    2618620","           236117068.70","      11905","     724623","         27.67"
"BOMDYEING","EQ","26-Apr-2017","         89.65","         90.85","         92.40","         86.40","         88.25","         88.20","         89.98","    3874856","           348656023.35","      17731","    1108522","         28.61"
"BOMDYEING","EQ","27-Apr-2017","         88.20","         88.50","         88.70","         86.40","         87.50","         87.25","         87.30","    1241204","           108351207.35","       6934","     389578","         31.39"
"BOMDYEING","EQ","28-Apr-2017","         87.25","         87.50","         87.80","         85.80","         86.65","         86.45","         86.43","    1216752","           105162142.00","       6935","     402363","         33.07"
"BOMDYEING","EQ","02-May-2017","         86.45","         86.95","         87.00","         85.10","         85.60","         85.90","         86.05","     860689","            74063887.00","       5315","     305921","         35.54"
